Recipe Name, 칼로리, 단백질, 지방, 탄수화물, 나트륨
소금없는 초밥, 521.6, 26.7, 10.4, 80.3, 172
잣소스새송이볶음, 151.4, 7.7, 18.7, 3.2, 168.2
더덕얼갈이겉절이, 35.5, 2.6, 1.3, 4.6, 448.4
과일겨자채, 123.6, 3.1, 6.2, 16.1, 109.2
콜라비물김치, 24.1, 0.5, 0.1, 5.3, 1178.3
고구마라떼, 291.7, 2.8, 14.7, 42.2, 70
홍시곶감화채, 173.2, 1.56, 3.44, 38.1, 3.1
오징어채소말이와 치킨양념소스, 106.4, 15.8, 1, 8.2, 382.1
옥수수감자샐러드, 248.6, 10.9, 16.1, 14.8, 212.7
홍합 쌀옹심이국, 317.2, 11.7, 8.3, 46.8, 498.8
찬밥김치달걀찜, 134.2, 7.9, 5.7, 12.2, 465.7
꼬막떡꼬치구이, 220.8, 11.6, 5.8, 29.7, 496.2
물파래콩전, 181.5, 10, 9.9, 15, 124.1
카스텔라케이크와 해독주스, 270.2, 5.3, 13.1, 32.8, 91.6
토마토김치, 80.2, 3.8, 1.1, 13.8, 109.5
닭가슴살스튜, 148.7, 19.4, 3.2, 10.6, 223.6
가지겉절이, 109.1, 3.8, 3.2, 16.2, 344.3
저염 동치미, 57.2, 1.4, 0.3, 12.2, 52.2
장어수육구이, 129, 15.2, 5.9, 3.9, 155.2
울금해초밥, 212, 5, 1.8, 44, 402.8
미역줄기두부무침, 178.3, 17.5, 10, 4.6, 446.4
맑은육개장, 87.4, 9.8, 2.3, 6.8, 115.8
주꾸미보양샐러드, 132.7, 20.3, 4.3, 3.2, 191.8
전복내장밥, 279.8, 12.7, 6.4, 42.8, 183.8
카레감자전, 186.9, 4.2, 5.8, 29.5, 491.9
두부채소샐러드, 154.2, 7.5, 9.4, 10, 40.1
더덕비트물김치, 43.8, 1.8, 0.1, 8.9, 107
연어허브스테이크, 455.5, 47.3, 28.1, 3.5, 256.4
해물칼국수, 184.6, 12.7, 2.7, 27.4, 150.3
버섯리조또, 213.7, 5.2, 3.5, 40.3, 66.5
삼색소고기만두, 203.8, 0.4, 5.4, 38.4, 136.1
콩가루비빔밥, 449.4, 13, 6.3, 85.2, 575.8
